stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower,in_aggregate
Age 18-39,ARBONNE ESSENTIALS BODY CLEANSE,Rash,3,0.310803547433486,9.75459317585302,15.1901163669337,1.47649709479621,2.10993061603667,1.06251293684711,4,TRUE,4.11721748351855,
Age 18-39,ARBONNE ESSENTIALS DIGESTION PLUS,Pruritus,4,1.21580220370868,3.31456657730116,4.1407581545695,0.25323580399707,1.39104175173771,0.467368279363549,3,TRUE,1.48475530870346,
Age 18-39,EXEMPTION 4,Alanine Aminotransferase Increased,8,3.52055898951895,2.32538167938931,2.54548609285451,0.214644124992667,1.08006674398974,0.408176324460396,3,TRUE,1.2519540383074,
Age 18-39,EXEMPTION 4,Amnesia,3,0.739317387798979,4.29301233118027,5.01477614145693,0.266182291388714,1.49780921467144,0.450391535481881,3,TRUE,1.65775665316004,
Age 18-39,EXEMPTION 4,Aspartate Aminotransferase Increased,8,3.53816178446654,2.31333306965154,2.5319754365042,0.207479762815726,1.07376412944872,0.401873709919379,3,TRUE,1.2453994880939,
Age 18-39,EXEMPTION 4,Disturbance In Attention,3,0.598495028218221,5.40088648116228,6.29528750540424,0.564153143503846,1.67182658191057,0.624408902721007,3,TRUE,2.05808671461052,
Age 18-39,EXEMPTION 4,Dysarthria,4,0.63370061811341,6.97614503816794,7.90533936651584,1.17685257367217,1.98888529042785,1.06521181805369,4,TRUE,2.90450873788639,
Age 18-39,EXEMPTION 4,Fall,3,0.686509002956195,4.65076335877863,5.42918820958371,0.370843429607167,1.56063187464755,0.513214195457986,3,TRUE,1.78829266270083,
Age 18-39,EXEMPTION 4,Local Swelling,3,0.545686643375437,5.97955288985823,6.96081643798212,0.693934838429867,1.74290433221052,0.695486653020958,3,TRUE,2.2626707128873,
Age 18-39,HERBALIFE ACTIVE FIBER COMPLEX,Dyspnoea,3,0.577264176296695,5.21458625525947,9.42326559215137,0.614935327396695,1.69998283828708,0.652565159097519,3,TRUE,2.13731959533046,
Age 18-39,HERBALIFE CELL ACTIVATOR,Anxiety,4,1.29185702768073,3.11657214870825,3.90025053354366,0.166756604438817,1.3284694721298,0.404795999755636,3,TRUE,1.39267996647678,
