product_category,n_reports,n_cases,n_death,n_life_threat,n_hosp,n_serious,pct_death,pct_life_threat,pct_hosp,pct_serious
Herbal/Botanical,3250,2517,307,368,1400,1963,12.2,14.62,55.62,77.99
Energy/Stimulant,1683,1522,75,142,672,830,4.93,9.33,44.15,54.53
Weight Loss/Diet,5612,4501,79,432,2063,2440,1.76,9.6,45.83,54.21
Other,33699,27590,766,2844,10466,13552,2.78,10.31,37.93,49.12
Sports Nutrition,1365,1146,22,128,406,538,1.92,11.17,35.43,46.95
Sexual Enhancement,330,323,6,45,101,142,1.86,13.93,31.27,43.96
Omega/Fish Oil,1374,1330,14,147,402,554,1.05,11.05,30.23,41.65
CBD/Hemp,215,202,1,26,52,77,0.5,12.87,25.74,38.12
Sleep Aid,485,473,11,34,118,179,2.33,7.19,24.95,37.84
Probiotic,930,914,15,68,242,327,1.64,7.44,26.48,35.78
Vitamin/Mineral,13362,12076,210,582,2160,2988,1.74,4.82,17.89,24.74
