product_clean,meddra_pt,a,prr,n_methods,pct_serious,has_cusum_alarm,risk_score,risk_percentile,risk_tier
KRATOM,Death,178,19.6869131562603,4,1,TRUE,0.720930239710095,100,Critical (top 5%)
KRATOM,Toxicity To Various Agents,102,126.071042155762,4,1,TRUE,0.704439318417529,99.966788442378,Critical (top 5%)
PRESERVISION AREDS 2 FORMULA SOFT GELS,Death,51,4.71910266996972,4,1,TRUE,0.683910555520096,99.9335768847559,Critical (top 5%)
KRATOM,Accidental Death,37,4435.9702970297,4,1,TRUE,0.674406313589604,99.9003653271338,Critical (top 5%)
KRATOM,Pulmonary Oedema,29,144.868399339934,4,1,TRUE,0.667191020630582,99.8671537695118,Critical (top 5%)
KRATOM,Brain Oedema,17,97.0546911834041,4,1,TRUE,0.651373236141469,99.8339422118897,Critical (top 5%)
KRATOM,Overdose,32,19.3763376337634,4,0.9375,TRUE,0.651356495108538,99.8007306542677,Critical (top 5%)
KRATOM,Toxicologic Test Abnormal,14,279.745874587459,4,1,TRUE,0.645622967082668,99.7675190966456,Critical (top 5%)
KRATOM,Pulmonary Congestion,13,48.7057549504951,4,1,TRUE,0.643428130211335,99.7010959814016,Critical (top 5%)
KRATOM,Unresponsive To Stimuli,13,19.9818481848185,4,1,TRUE,0.643428130211335,99.7010959814016,Critical (top 5%)
VITAMIN B6,Neuropathy Peripheral,19,127.991028295376,4,0.947368421052632,TRUE,0.638877903666128,99.6678844237795,Critical (top 5%)
BALANCE OF NATURE WHOLE PRODUCE FRUITS,Hospitalisation,11,18.2336956521739,4,1,TRUE,0.638480532080261,99.5350381932913,Critical (top 5%)
BALANCE OF NATURE WHOLE PRODUCE VEGGIES,Hospitalisation,11,19.1941504576659,4,1,TRUE,0.638480532080261,99.5350381932913,Critical (top 5%)
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Death,11,3.60001746501958,4,1,TRUE,0.638480532080261,99.5350381932913,Critical (top 5%)
KRATOM,Cardiomegaly,11,52.7520792079208,4,1,TRUE,0.638480532080261,99.5350381932913,Critical (top 5%)
GUNDRY MD TOTAL RESTORE,Hospitalisation,9,29.7682926829268,4,1,TRUE,0.632537319378627,99.4686150780472,Critical (top 5%)
KRATOM,Obesity,9,41.500761614623,4,1,TRUE,0.632537319378627,99.4686150780472,Critical (top 5%)
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hospitalisation,21,14.6869834710744,4,0.904761904761905,TRUE,0.629060094992433,99.4354035204251,Critical (top 5%)
NEW VITALITY SUPER BETA PROSTATE,Dysuria,8,80.3506172839506,4,1,TRUE,0.629048969313672,99.368980405181,Critical (top 5%)
VITAMIN B6,Hypervitaminosis,8,103.291005291005,4,1,TRUE,0.629048969313672,99.368980405181,Critical (top 5%)
FLORASTOR (SACCHAROMYCES BOULARDII LYOPHILISED),Fungaemia,15,1627.4,4,0.933333333333333,TRUE,0.627666311324831,99.3025572899369,Critical (top 5%)
OXYELITE PRO,Jaundice,15,16.1814159292035,4,0.933333333333333,TRUE,0.627666311324831,99.3025572899369,Critical (top 5%)
KRATOM,Contusion,7,4.79564356435644,4,1,TRUE,0.625094204185235,99.2693457323148,Critical (top 5%)
OXYELITE PRO (REVISED FORMULA),Liver Injury,6,150.258461538462,4,1,TRUE,0.620528762897433,99.2361341746928,Critical (top 5%)
VITAMIN B6,Paraesthesia,13,29.3801805973605,4,0.923076923076923,TRUE,0.620351207134412,99.2029226170708,Critical (top 5%)
KRATOM,Drug Screen Positive,22,29.9727722772277,4,0.863636363636364,TRUE,0.618100204068603,99.1697110594487,Critical (top 5%)
OXYELITE PRO,Blood Bilirubin Increased,17,29.4360795454545,4,0.882352941176471,TRUE,0.61607911849441,99.1364995018266,Critical (top 5%)
KRATOM,Convulsion,25,3.70950151945888,4,0.84,TRUE,0.614795303271035,99.1032879442046,Critical (top 5%)
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hospitalisation,11,7.5102672568355,4,0.909090909090909,TRUE,0.611207804807533,99.0368648289605,Critical (top 5%)
PLEXUS SLIM,Heart Rate Increased,11,3.82583443925967,4,0.909090909090909,TRUE,0.611207804807533,99.0368648289605,Critical (top 5%)
VITAMIN B6,Hypoaesthesia,10,22.6001389210465,4,0.9,TRUE,0.605657754843637,99.0036532713384,Critical (top 5%)
OXYELITE PRO,Aspartate Aminotransferase Increased,9,11.8221982758621,4,0.888888888888889,TRUE,0.599203986045294,98.9704417137164,Critical (top 5%)
HYDROXYCUT,Blood Bilirubin Increased,13,10.3932091464617,4,0.846153846153846,TRUE,0.597274284057489,98.9372301560943,Critical (top 5%)
PLEXUS PROBIO5,Abdominal Pain Upper,8,4.60369348333687,4,0.875,TRUE,0.591548969313672,98.8043839256061,Critical (top 5%)
TRIVEREX,Chest Pain,8,5.9005291005291,4,0.875,TRUE,0.591548969313672,98.8043839256061,Critical (top 5%)
VITAMIN B6,Arthralgia,8,25.1815543373106,4,0.875,TRUE,0.591548969313672,98.8043839256061,Critical (top 5%)
VITAMIN B6,Muscle Twitching,8,111.554285714286,4,0.875,TRUE,0.591548969313672,98.8043839256061,Critical (top 5%)
OXYELITE PRO,Alanine Aminotransferase Increased,11,14.3258547008547,4,0.818181818181818,TRUE,0.583935077534806,98.7711723679841,Critical (top 5%)
HYDROXYCUT HARDCORE CAPSULES,Anxiety,28,9.37091266378546,4,0.714285714285714,TRUE,0.580437444265815,98.737960810362,Critical (top 5%)
HYDROXYCUT HARDCORE CAPSULES,Injury,37,73.5695391272401,4,0.675675675675676,TRUE,0.577109016292306,98.70474925274,Critical (top 5%)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Depression,13,5.35579862762416,4,0.769230769230769,TRUE,0.574197360980566,98.6715376951179,Critical (top 5%)
HYDROXYCUT,Jaundice,21,10.6921193861218,4,0.714285714285714,TRUE,0.571917237849576,98.6383261374959,Critical (top 5%)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hypertension,23,4.73123240272737,4,0.695652173913044,TRUE,0.569021463643028,98.6051145798738,Critical (top 5%)
