product_clean,meddra_pt,a,prr,n_methods,cbi_reason
SUPER BETA PROSTATE,Blood Urine Present,268,37.7462115847614,4,Prostate supplement taken for BPH
PRESERVISION AREDS 2,Macular Degeneration,100,30.2134244145453,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE,Urinary Retention,66,21.9521739130435,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE P3 ADVANCED,Blood Urine Present,59,22.9617688513037,4,Prostate supplement taken for BPH
PRESERVISION AREDS 2,Visual Impairment,46,10.4501546581912,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA SOFT GELS,Macular Degeneration,42,18.4562091503268,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2,Age-Related Macular Degeneration,37,32.3861250820031,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2,Blindness,29,11.6627901135336,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE,Urinary Tract Infection,28,4.20380434782609,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE,Prostatomegaly,26,24.9826086956522,4,Prostate supplement taken for BPH
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Age-Related Macular Degeneration,25,277.1875,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA SOFT GELS,Neovascular Age-Related Macular Degeneration,24,116.927536231884,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE P3 ADVANCED,Urinary Retention,23,26.6983709931687,4,Prostate supplement taken for BPH
PRESERVISION AREDS 2 FORMULA SOFT GELS,Blindness,20,14.274593064402,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA SOFT GELS,Visual Impairment,18,6.9551724137931,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA SOFT GELS,Age-Related Macular Degeneration,14,17.2393162393162,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE,Prostate Cancer,14,7.12173913043478,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE,Prostatic Disorder,13,26.7670807453416,4,Prostate supplement taken for BPH
PRESERVISION AREDS 2,Blindness Unilateral,12,16.2328489354512,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA SOFT GELS,Blindness Unilateral,11,27.3913580246914,4,Eye supplement taken for macular degeneration
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Constipation,10,4.39763875475002,4,Fibre supplement taken for bowel conditions
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Flatulence,10,8.61937195931004,4,Fibre supplement taken for bowel conditions
PRESERVISION AREDS 2,Neovascular Age-Related Macular Degeneration,10,16.0866070531498,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE,Prostatic Specific Antigen Increased,9,12.1610054347826,4,Prostate supplement taken for BPH
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Obesity,8,43.8229448961156,4,Weight loss product taken for obesity
PRESERVISION AREDS 2 MULTIVITAMIN,Macular Degeneration,8,27.5635901419391,4,Eye supplement taken for macular degeneration
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Constipation,8,3.51056950111234,3,Fibre supplement taken for bowel conditions
PRESERVISION AREDS 2 FORMULA CHEWABLES,Macular Degeneration,7,23.5537931034483,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Macular Degeneration,7,21.4103448275862,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Visual Impairment,7,20.6279069767442,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE,Urinary Hesitation,7,14.4130434782609,4,Prostate supplement taken for BPH
BENEFIBER W/ WHEAT DEXTRIN,Abdominal Pain Upper,6,7.62847990833095,4,Fibre supplement taken for bowel conditions
BENEFIBER WITH WHEAT DEXTRIN,Constipation,6,5.21711229946524,4,Fibre supplement taken for bowel conditions
FLORASTOR,Clostridium Difficile Infection,6,230.365066876475,4,Probiotic taken for GI conditions
HERBALIFE FLORAFIBER,Abdominal Pain,6,5.74235294117647,4,Fibre supplement taken for bowel conditions
MELATONIN,Insomnia,6,5.78854102802445,4,Sleep supplement taken for insomnia
PRESERVISION AREDS 2 FORMULA SOFT GELS,Dry Age-Related Macular Degeneration,6,74.7037037037037,4,Eye supplement taken for macular degeneration
SIMILAC PROBIOTIC TRIBLEND,Necrotising Colitis,6,1877.96153846154,4,Probiotic taken for GI conditions
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,Abdominal Pain Upper,6,4.39089559623949,3,Fibre supplement taken for bowel conditions
BEAUTY SLIM (PRETTY SLIM),Weight Decreased,5,73.1062874251497,4,Weight loss product taken for obesity
NAC MARKETING SUPER BETA PROSTATE,Blood Urine Present,5,12.5918472652219,4,Prostate supplement taken for BPH
PRESERVISION AREDS 2 FORMULA,Macular Degeneration,5,7.25506253722454,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Blindness,5,8.95680011775096,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Macular Degeneration,5,5.27592335703139,4,Eye supplement taken for macular degeneration
PRESERVISION LUTEIN,Macular Degeneration,5,59.7186888454012,4,Eye supplement taken for macular degeneration
SUPER BETA PROSTATE P3 ADVANCED,Blood Urine,5,100.409090909091,4,Prostate supplement taken for BPH
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Abdominal Distension,5,2.84319561157797,3,Fibre supplement taken for bowel conditions
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Vision Blurred,5,3.17643220670756,3,Eye supplement taken for macular degeneration
ARBONNE ESSENTIALS DAILY FIBER BOOST,Abdominal Distension,4,5.88482180546343,4,Fibre supplement taken for bowel conditions
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,Constipation,4,18.9498399146211,4,Fibre supplement taken for bowel conditions
