product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Alanine Aminotransferase Increased,2025-Q1,93,8.5421052631579
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Aspartate Aminotransferase Increased,2024-Q3,91,10.3947368421053
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Diarrhoea,2024-Q3,91,9.17894736842105
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hepatic Enzyme Increased,2025-Q1,93,7.92105263157895
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hospitalisation,2024-Q4,92,8.15263157894737
AGELESS MALE MAX,Cardiac Disorder,2018-Q4,68,5.57894736842105
ALL DAY ENERGY GREENS,Abdominal Distension,2016-Q3,59,9.76842105263158
ALL DAY ENERGY GREENS,Abdominal Pain Upper,2016-Q2,58,12.3873668972896
ALL DAY ENERGY GREENS,Constipation,2016-Q2,58,7.81052631578947
ALL DAY ENERGY GREENS,Diverticulitis,2016-Q3,59,5.85263157894737
ALL DAY ENERGY GREENS,Flatulence,2016-Q2,58,11.6444555282484
ALL DAY ENERGY GREENS,Gastric Disorder,2016-Q2,58,12.3563781567296
ALL DAY ENERGY GREENS,Gastrointestinal Disorder,2016-Q2,58,12.3590532512236
ALL DAY ENERGY GREENS,Vomiting,2016-Q2,58,12.2628598165723
ALL DAY ENERGY GREENS FRUITY,Abdominal Distension,2016-Q3,59,6.83157894736842
ALL DAY ENERGY GREENS FRUITY,Abdominal Pain Upper,2016-Q2,58,9.74736842105263
ALL DAY ENERGY GREENS FRUITY,Dehydration,2016-Q2,58,6.83157894736842
ALL DAY ENERGY GREENS FRUITY,Diarrhoea,2016-Q2,58,12.078458226575
ALL DAY ENERGY GREENS FRUITY,Flatulence,2016-Q2,58,9.74736842105263
ALL DAY ENERGY GREENS FRUITY,Gastric Disorder,2016-Q2,58,10.7473684210526
ALL DAY ENERGY GREENS FRUITY,Gastrointestinal Disorder,2016-Q3,59,11.4485628582801
