product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
KRATOM,Death,FALSE,TRUE,177,17.9373222565688,4
CITRACAL PETITES,Choking,FALSE,TRUE,158,7.6749902458057,4
KRATOM,Dependence,FALSE,TRUE,103,31.4114069767442,4
KRATOM,Toxicity To Various Agents,FALSE,TRUE,101,75.2536079545455,4
PRESERVISION AREDS 2,Macular Degeneration,FALSE,TRUE,100,20.405082897378,4
CITRACAL MAXIMUM,Foreign Body,FALSE,TRUE,87,5.42666095768215,4
ONE A DAY WOMEN'S,Choking,FALSE,TRUE,77,5.78781883519066,4
CITRACAL MAXIMUM,Foreign Body In Throat,FALSE,TRUE,65,13.1514660493827,4
SUPER BETA PROSTATE P3 ADVANCED,Blood Urine Present,FALSE,TRUE,59,19.4341589473421,4
PRESERVISION AREDS 2,Dysphagia,FALSE,TRUE,54,2.21503575933381,3
CITRACAL PETITES,Foreign Body,FALSE,TRUE,52,5.48975436884272,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Death,FALSE,TRUE,51,4.13680310973836,4
PRESERVISION AREDS 2,Condition Aggravated,FALSE,TRUE,50,8.61182262066757,4
PRESERVISION AREDS 2,Visual Impairment,FALSE,TRUE,46,10.5261077632045,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Macular Degeneration,FALSE,TRUE,42,12.2485590297096,4
ALL DAY ENERGY GREENS,Abdominal Pain Upper,FALSE,TRUE,39,4.91496511095859,4
CENTRUM SILVER WOMEN'S 50+,Foreign Body,FALSE,TRUE,39,4.79347340811429,4
KRATOM,Accidental Death,FALSE,TRUE,37,2425.9975,4
PRESERVISION AREDS 2,Age-Related Macular Degeneration,FALSE,TRUE,37,17.4313421398336,4
CITRACAL SLOW RELEASE 1200,Choking,FALSE,TRUE,36,6.28559034624182,4
CENTRUM SILVER MEN'S 50+,Choking,FALSE,TRUE,35,2.88353725843815,4
CITRACAL PETITES,Dysphagia,FALSE,TRUE,35,4.95595493562232,4
PRESERVISION AREDS 2,Cataract,FALSE,TRUE,33,12.0134925558313,4
KRATOM,Overdose,FALSE,TRUE,32,22.5608602150538,4
CITRACAL,Choking,FALSE,TRUE,31,6.32097723418785,4
ONE A DAY WOMEN'S,Foreign Body,FALSE,TRUE,31,5.13955949012046,4
CENTRUM SILVER,Choking,FALSE,TRUE,30,2.8362216516902,4
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Dysphagia,FALSE,TRUE,30,7.4802371541502,4
ALL DAY ENERGY GREENS,Vomiting,FALSE,TRUE,29,2.14268269510205,3
KRATOM,Pulmonary Oedema,FALSE,TRUE,29,146.265961538462,4
PRESERVISION AREDS 2,Blindness,FALSE,TRUE,29,9.88344068422998,4
KRATOM,Withdrawal Syndrome,FALSE,TRUE,28,16.8430275229358,4
SUPER BETA VIRILITY BOOST,Blood Urine Present,FALSE,TRUE,28,13.7451147613927,4
CENTRUM SILVER WOMEN 50+,Choking,FALSE,TRUE,27,3.68386808307251,4
CITRACAL MAXIMUM PLUS,Choking,FALSE,TRUE,27,6.7772144010424,4
SUPER BETA PROSTATE,Myocardial Infarction,FALSE,TRUE,26,2.75403106630324,3
CITRACAL MAXIMUM BAYER,Choking,FALSE,TRUE,25,6.41963682024534,4
KRATOM,Convulsion,FALSE,TRUE,25,5.20376984126984,4
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Age-Related Macular Degeneration,FALSE,TRUE,25,156.686320754717,4
SUPER BETA PROSTATE,Urinary Tract Infection,FALSE,TRUE,25,4.96101019733301,4
ONE A DAY WOMEN'S 50 PLUS HEALTHY ADVANTAGE,Choking,FALSE,TRUE,24,4.03938564476886,4
ONE A DAY WOMEN'S 50+ MINIGELS COMPLETE MULTIVITAMIN,Foreign Body,FALSE,TRUE,24,17.5668400627529,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Neovascular Age-Related Macular Degeneration,FALSE,TRUE,24,68.4010439321444,4
ARBONNE ESSENTIALS DIGESTION PLUS,Hypersensitivity,FALSE,TRUE,23,10.0742767658452,4
CENTRUM SILVER WOMEN 50+,Dysphagia,FALSE,TRUE,23,9.51867556276112,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Condition Aggravated,FALSE,TRUE,23,6.7705258665229,4
SUPER BETA PROSTATE P3 ADVANCED,Urinary Retention,FALSE,TRUE,23,17.2942433741807,4
ALL DAY ENERGY GREENS FRUITY,Diarrhoea,FALSE,TRUE,22,2.86142887977552,3
