term,estimate,std.error,statistic,p.value,conf.low,conf.high
product_categoryHerbal/Botanical,2.075,0.158,4.612,0,1.526,2.841
product_categoryEnergy/Stimulant,2.073,0.163,4.484,0,1.512,2.862
product_categoryWeight Loss/Diet,1.415,0.156,2.231,0.026,1.046,1.927
sex_cleanMale,1.385,0.034,9.48,0,1.295,1.481
age_group<18,1.221,0.088,2.274,0.023,1.027,1.45
product_categoryOmega/Fish Oil,1.204,0.167,1.113,0.266,0.871,1.676
sex_cleanUnknown,1.122,0.067,1.715,0.086,0.983,1.279
product_categorySexual Enhancement,1.12,0.191,0.593,0.553,0.771,1.634
age_group18-39,1.094,0.049,1.84,0.066,0.994,1.203
product_categorySports Nutrition,1.074,0.167,0.429,0.668,0.777,1.495
product_categorySleep Aid,0.963,0.184,-0.206,0.837,0.672,1.385
product_categoryProbiotic,0.936,0.171,-0.389,0.697,0.671,1.313
age_group60+,0.904,0.046,-2.21,0.027,0.827,0.989
age_groupUnknown,0.629,0.045,-10.186,0,0.575,0.688
product_categoryVitamin/Mineral,0.5,0.155,-4.49,0,0.37,0.679
