dominant_product,dominant_pt,unmasked_pt,a_new,prr_new,prr_orig,prr_change
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Cardiac Disorder,3,14.4965753424658,3.113591301567,4.65590179904792
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Chest Discomfort,4,9.69759450171821,2.075727534378,4.6719014615876
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Breast Cancer,3,6.09294871794872,1.89310429447853,3.21849606264142
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Choking Sensation,3,6.05414012738854,1.96545222929936,3.08027844031941
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Macular Degeneration,4,4.46244131455399,1.32095890410959,3.37818330356156
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Neoplasm Malignant,3,4.87435897435898,1.17478172588832,4.14916138627641
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Skin Discolouration,3,6.60069444444445,2.05717333333333,3.20862337533272
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Choking,Foreign Body,3,3.94013940139401,2.21635847924508,1.77775366137344
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Choking,Haemorrhage,3,9.07974300831444,3.03510737628385,2.99157225186266
CITRACAL MAXIMUM,Choking,Nephrolithiasis,7,4.30776173285199,1.43521192361435,3.00148128786694
CITRACAL PETITES,Choking,Nephrolithiasis,4,4.14527048949839,1.74909117085988,2.36995678587784
ONE A DAY WOMEN'S (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,Choking,Coeliac Disease,3,9.27667653494658,3.66260987153482,2.53280498341997
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Choking,Constipation,4,4.76707026597856,1.89114194236926,2.52073636524939
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Haematochezia,3,4.9324888736734,2.0765625,2.37531443126484
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,Weight Decreased,3,4.75285346704493,1.98358208955224,2.39609617977434
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,Choking,Weight Decreased,3,7.54544503165716,3.35993111366246,2.2457142055607
CENTRUM SILVER WOMEN'S 50+,Choking,Cerebrovascular Accident,6,3.43171343283582,1.84314964610718,1.86187455808798
CENTRUM SILVER WOMEN'S 50+,Choking,Condition Aggravated,4,4.85073417721519,2.66684954052942,1.81890058044003
KRATOM,Death,Amnesia,4,4.59099653712967,2.55087423635981,1.79977376841643
KRATOM,Death,Anger,3,6.33557522123894,3.59673267326733,1.76148070951395
KRATOM,Death,Anxiety,14,2.66360519811847,1.59997005038582,1.6647844111058
KRATOM,Death,Blood Bilirubin Increased,5,2.94130697364853,1.6468556196279,1.78601386702807
KRATOM,Death,Chills,6,2.85386271226979,1.60210809499658,1.78131720399046
KRATOM,Death,Confusional State,7,3.73308304281756,2.09809405940594,1.77927344395349
KRATOM,Death,Decreased Appetite,9,3.18904793015383,1.99486005172897,1.59863240902029
KRATOM,Death,Drug-Induced Liver Injury,3,6.0338811630847,3.39314403138427,1.77825671627123
KRATOM,Death,Hot Flush,3,4.30991511648907,2.43022477923468,1.77346357148343
KRATOM,Death,Skin Discolouration,3,4.3693622215441,2.38194216772671,1.83436956645935
KRATOM,Death,Somnolence,6,4.44601769911504,2.49773102310231,1.78002261171936
KRATOM,Death,Suicidal Ideation,4,4.42274011953853,2.49773102310231,1.77070312160565
KRATOM,Death,Weight Decreased,10,3.2440221306907,1.99214800634142,1.6284041749731
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,Breast Cancer,4,3.3754528020456,1.89310429447853,1.78302527329874
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,Sensation Of Foreign Body,3,5.89444743043784,3.45420895522388,1.70645363579512
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,Skin Discolouration,4,3.6567405355494,2.05717333333333,1.77755587061991
ARBONNE ESSENTIALS DIGESTION PLUS,Hypersensitivity,Swelling,3,5.30615622241836,3.13360739979445,1.69330600341524
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",Dysphagia,Haemorrhage,3,5.10724914965986,3.03510737628385,1.68272437066563
