product_clean,search_term,n_recalls,classifications,reasons,statuses
KRATOM,kratom,5,Class II; Class I,"The firm's dietary supplement products contain kratom (Mitragyna speciosa), a new dietary ingredi... | Avalon Packaging is recalling NXTGEN Kratom because of the potential for Salmonella contamination. | The firm distributes dietary supplements which contain Mitragyna speciosa (kratom) a dietary ingr... | Smiley National is voluntarily recalling all lots of Bali Kratom 40, XL Kratom, Maeng da Kratom, ... | NGB Corp is recalling Nxtgen Botanicals due to potential Salmonella contamination.",Terminated
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,hydroxycut regular,0,,,
SUPER BETA PROSTATE,super beta,0,,,
HYDROXYCUT HARDCORE CAPSULES,hydroxycut hardcore,0,,,
PRESERVISION AREDS 2,preservision areds,0,,,
HYDROXYCUT,hydroxycut,0,,,
OXYELITE PRO,oxyelite pro,5,Class I,"USPlabs, LLC received a 423(a), Notification of Opportunity to Initiate a Voluntary Recall, lette...",Terminated
HERBALIFE CELL ACTIVATOR,herbalife cell,0,,,
HERBALIFE TOTAL CONTROL,herbalife total,0,,,
HYDROXYCUT CAFFEINE-FREE CAPLETS,hydroxycut caffeine,0,,,
REUMOFAN PLUS,reumofan plus,0,,,
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,benefiber w,0,,,
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,nutrafol womens,0,,,
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,benefiber with,0,,,
GARCINIA CAMBOGIA,garcinia cambogia,0,,,
OMEGAPLEX,omegaplex,0,,,
NATURAL ACCELERATOR,natural accelerator,0,,,
VITAMIN B6,vitamin b,1,Class II,Product recalled due to undeclared niacin.,Terminated
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",centrum silver,0,,,
HYDROXYCUT WITH EPHEDRA,hydroxycut with,0,,,
PLEXUS SLIM,plexus slim,0,,,
ALL DAY ENERGY GREENS,all day,0,,,
HYDROXYCUT NATURAL CAPLETS,hydroxycut natural,0,,,
HYDROXYCUT MAX LIQUID CAPS,hydroxycut max,0,,,
MODERE BURN,modere burn,0,,,
EXTENZE PLUS,extenze plus,0,,,
EMERGEN-C,emergen,0,,,
PROTANDIM US,protandim us,0,,,
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,citracal maximum,0,,,
HERBALIFE MULTIVITAMIN COMPLEX FORMULA 2,herbalife multivitamin,0,,,
HYDROXYCUT CAPSULES,hydroxycut capsules,0,,,
NIACIN,niacin,1,Class II,Microcystins level found to be above the specification limit of NMT1 ppm as per Raw Material Spec...,Terminated
NO XPLODE,no xplode,0,,,
PREVAGEN REGULAR STRENGTH,prevagen regular,0,,,
TOTAL BODY FORMULA,total body,0,,,
ARBONNE ESSENTIALS HERBAL DETOX TEA,arbonne essentials,0,,,
JACK3D,jack,0,,,
