product_clean,n_signals,mean_risk_score,max_risk_score,mean_pct_serious,total_cases
GUNDRY MD TOTAL RESTORE,1,0.633,0.633,100,9
FLORASTOR (SACCHAROMYCES BOULARDII LYOPHILISED),2,0.543,0.628,96.7,19
OXYELITE PRO (REVISED FORMULA),2,0.535,0.621,100,9
GUNDRY MD MCT WELLNESS WATERMELON LEMONADE,1,0.479,0.479,100,8
POWER V8 MALE ENHANCEMENT,1,0.471,0.471,100,6
ROUNDHOUSE PROVISIONS MORNING KICK,1,0.471,0.471,100,6
"ALL DAY ENERGY GREENS, FRUITY",2,0.466,0.521,47.6,13
BENEFIBER UNKNOWN (NCH),1,0.465,0.465,100,5
CORTISLIM,1,0.465,0.465,100,5
LIVING ESSENTIALS 5 HOUR ENERGY,1,0.465,0.465,100,5
BALANCE OF NATURE WHOLE PRODUCE FRUITS 90 CAPSULES,2,0.46,0.471,100,9
DS 01 DAILY PROBIOTIC PLUS PREBIOTIC SUPPLEMENT,1,0.459,0.459,100,4
DS 01 DAILY SYNBIOTIC SUPPLEMENT,1,0.459,0.459,100,4
IC-5,1,0.459,0.459,100,4
ISAGENIX CLEANSE FOR LIFE,1,0.459,0.459,100,4
MITRAGYNA SPECIOSA,1,0.459,0.459,100,4
PLEXUS ACCELERATOR +,1,0.459,0.459,100,4
TRUCONTROL,1,0.459,0.459,100,4
TRUVISION HEALTH TRUCONTROL,1,0.459,0.459,100,4
CELLUCOR SUPER HD,2,0.458,0.465,100,8
ENFAMIL D-VI-SOL,2,0.458,0.465,100,8
ESTER-C 24 HOUR IMMUNE SUPPORT,3,0.458,0.475,100,13
MITRAGYNINE,3,0.457,0.471,100,12
DESIGNS FOR HEALTH GI MICROB-X,2,0.454,0.459,100,7
MAGNESIUM OXIDE,2,0.454,0.459,100,7
UQORA DEFEND PART 2,2,0.454,0.459,100,7
BIOGUARD DAILY IMMUNE SUPPORT,5,0.452,0.459,100,16
ALIVE LIQUID VITAMIN,1,0.45,0.45,100,3
ALPHA CRS+,1,0.45,0.45,100,3
BELLY TRIM XP,1,0.45,0.45,100,3
CERTIFIED ORGANIC JUICE CLEANSE GREENS POWDER,1,0.45,0.45,100,3
CLARITY,1,0.45,0.45,100,3
DOCTOR'S BEST RED YEAST RICE,1,0.45,0.45,100,3
ESTER C 24 HOUR IMMUNE SUPPORT,1,0.45,0.45,100,3
ESTER-C 1000MG COATED TABLETS,1,0.45,0.45,100,3
EVINATURE CURQD-2,2,0.45,0.45,100,6
EVINATURE CURQD-4,2,0.45,0.45,100,6
FERROUS SULFATE (NCH) (FERROUS SULFATE) UNKNOWN,1,0.45,0.45,100,3
FLINSTONES GUMMIES,1,0.45,0.45,100,3
GUNDRY MD ACTIVE ADVANTAGE,1,0.45,0.45,100,3
GUNDRY MD MCT WELLNESS BLUEBERRY LEMONADE,1,0.45,0.45,100,3
HERBALIFE JOINT SUPPORT,1,0.45,0.45,100,3
HERBALIFE SKIN COLLAGEN BEAUTY BOOSTER,1,0.45,0.45,100,3
HERBALIFE XTRA-CAL,2,0.45,0.45,100,6
HYDROXYCUT HARDCORE LIQUID CAPSULES,1,0.45,0.45,100,3
IONIX SUPREME ALIX TECHNOLOGIES,1,0.45,0.45,100,3
IONIX SUPREME POWDER,1,0.45,0.45,100,3
ISAGENIX CLEANSE FOR LIFE POWDER,1,0.45,0.45,100,3
ISAGENIX IONIX SUPREME-LIQUID,1,0.45,0.45,100,3
ISAGENIX NATURAL ACCELERATOR ARIZONA NUTRITIONAL SUPPLEMENTS,1,0.45,0.45,100,3
METABOLIFE,1,0.45,0.45,100,3
MIRACLE MINERAL SOLUTION,2,0.45,0.45,100,6
MOVE FREE,2,0.45,0.45,100,6
N.O.-XPLODE,1,0.45,0.45,100,3
NAC MARKETING AGELESS MALE PERFORMANCE,1,0.45,0.45,100,3
OXY ELITE PRO,1,0.45,0.45,100,3
