product_clean,base_name,n_signals,total_cases
5 HOUR ENERGY,5 HOUR,7,57
5 HOUR ENERGY BERRY,5 HOUR,1,3
5-HOUR ENERGY,5HOUR ENERGY,5,36
5-HOUR ENERGY BERRY,5HOUR ENERGY,3,13
5-HOUR ENERGY EXTRA STRENGTH BERRY,5HOUR ENERGY,1,4
5-HOUR ENERGY POMEGRANATE,5HOUR ENERGY,1,3
ADVOCARE CATALYST,ADVOCARE CATALYST,1,3
ADVOCARE CATALYST BOTTLE,ADVOCARE CATALYST,1,3
ADVOCARE MNS 3,ADVOCARE MNS,3,11
ADVOCARE MNS MAX 3,ADVOCARE MNS,1,3
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,AG1 WHOLE,17,114
AG1 WHOLE FOOD DIETARY SUPPLEMENT,AG1 WHOLE,7,32
AG1 WHOLE FOOD,AG1 WHOLE,1,3
AG1 WHOLE FOOD NON SPECIFIC,AG1 WHOLE,1,3
AGELESS MALE MAX,AGELESS MALE,6,39
AGELESS MALE,AGELESS MALE,4,15
AGELESS MALE PERFORMANCE,AGELESS MALE,2,8
AGELESS MALE TONIGHT,AGELESS MALE,2,10
AGELOC TR90 CONTROL (US),AGELOC TR90,1,3
AGELOC TR90 FIT (US),AGELOC TR90,1,3
ALL DAY ENERGY GREENS,ALL DAY,15,167
ALL DAY ENERGY GREENS FRUITY,ALL DAY,15,127
ALL DAY ENERGY GREENS?,ALL DAY,4,19
"ALL DAY ENERGY GREENS, FRUITY",ALL DAY,2,13
ARBONNE ESSENTIALS HERBAL DETOX TEA,ARBONNE ESSENTIALS,10,59
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - CHOCOLATE,ARBONNE ESSENTIALS,10,72
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,ARBONNE ESSENTIALS,10,68
ARBONNE ESSENTIALS DAILY FIBER BOOST,ARBONNE ESSENTIALS,9,60
ARBONNE ESSENTIALS DIGESTION PLUS,ARBONNE ESSENTIALS,8,75
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,ARBONNE ESSENTIALS,7,35
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - CITRUS,ARBONNE ESSENTIALS,6,32
ARBONNE ESSENTIALS GREENS BALANCE,ARBONNE ESSENTIALS,5,28
ARBONNE ESSENTIALS BODY CLEANSE,ARBONNE ESSENTIALS,3,24
ARBONNE ESSENTIALS CHOCOLATE PROTEIN SHAKE MIX,ARBONNE ESSENTIALS,3,21
ARBONNE ESSENTIALS ENERGY FIZZ STICKS CITRUS,ARBONNE ESSENTIALS,2,7
ARBONNE ESSENTIALS ENERGY FIZZ STICKS POMEGRANATE,ARBONNE ESSENTIALS,2,7
ARBONNE ESSENTIALS HERBAL TEA,ARBONNE ESSENTIALS,2,7
ARBONNE ESSENTIALS PROTEIN SHAKE MIX CHOCOLATE,ARBONNE ESSENTIALS,2,9
ARBONNE ESSENTIALS PROTEIN SHAKE MIX VANILLA,ARBONNE ESSENTIALS,2,11
ARBONNE ESSENTIALS VANILLA PROTEIN SHAKE MIX,ARBONNE ESSENTIALS,2,9
ARBONNE ESSENTIALS ENERGY FIZZ STICKS,ARBONNE ESSENTIALS,1,4
