product_clean,n_reports,pct_serious,pct_death,pct_hosp,product_category,n_robust_signals
KRATOM,404,72.5247524752475,44.0594059405941,23.2673267326733,Herbal/Botanical,56
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,328,27.7439024390244,1.52439024390244,24.0853658536585,Weight Loss/Diet,54
EXEMPTION 4,710,40.2816901408451,4.92957746478873,32.112676056338,Other,44
SUPER BETA PROSTATE,1104,32.2463768115942,0.181159420289855,30.8876811594203,Other,44
HYDROXYCUT HARDCORE CAPSULES,131,37.4045801526718,0.763358778625954,32.0610687022901,Weight Loss/Diet,42
PRESERVISION AREDS 2,807,19.5786864931846,5.94795539033457,12.5154894671623,Other,42
HYDROXYCUT,171,54.9707602339181,3.50877192982456,47.3684210526316,Weight Loss/Diet,40
OXYELITE PRO,80,65,1.25,53.75,Other,28
HERBALIFE CELL ACTIVATOR,84,86.9047619047619,0,79.7619047619048,Herbal/Botanical,27
HERBALIFE TOTAL CONTROL,61,85.2459016393443,0,78.6885245901639,Herbal/Botanical,24
HYDROXYCUT CAFFEINE-FREE CAPLETS,40,35,0,35,Weight Loss/Diet,24
HERBALIFE CELL-U-LOSS,63,90.4761904761905,1.58730158730159,80.952380952381,Herbal/Botanical,23
REUMOFAN PLUS,62,45.1612903225806,8.06451612903226,27.4193548387097,Other,23
SUPER BETA PROSTATE P3 ADVANCED,242,25.2066115702479,1.2396694214876,23.5537190082645,Other,23
PRESERVISION AREDS 2 FORMULA SOFT GELS,432,24.7685185185185,11.8055555555556,11.8055555555556,Other,22
HYDROXYCUT HARDCORE,50,42,2,34,Weight Loss/Diet,20
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,96,36.4583333333333,0,34.375,Other,20
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,119,20.1680672268908,1.68067226890756,15.9663865546218,Other,20
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",158,25.3164556962025,1.26582278481013,22.1518987341772,Other,19
GARCINIA CAMBOGIA,28,42.8571428571429,0,35.7142857142857,Weight Loss/Diet,18
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,119,29.4117647058824,9.2436974789916,17.6470588235294,Other,18
OMEGAPLEX,62,29.0322580645161,0,29.0322580645161,Omega/Fish Oil,18
NATURAL ACCELERATOR,55,94.5454545454546,0,78.1818181818182,Other,17
VITAMIN B6,35,71.4285714285714,0,5.71428571428571,Vitamin/Mineral,17
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,97,36.0824742268041,0,30.9278350515464,Other,17
PLEXUS SLIM,94,82.9787234042553,0,80.8510638297872,Weight Loss/Diet,16
HYDROXYCUT WITH EPHEDRA,28,50,3.57142857142857,46.4285714285714,Weight Loss/Diet,16
HYDROXYCUT REGULAR DRINK MIX SACHETS,21,33.3333333333333,9.52380952380952,23.8095238095238,Weight Loss/Diet,16
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",625,8,0.64,7.2,Vitamin/Mineral,16
ALL DAY ENERGY GREENS,186,62.3655913978495,1.0752688172043,60.752688172043,Energy/Stimulant,15
ALL DAY ENERGY GREENS FRUITY,113,56.6371681415929,0,56.6371681415929,Energy/Stimulant,15
HYDROXYCUT NATURAL CAPLETS,17,29.4117647058824,0,29.4117647058824,Weight Loss/Diet,15
SUPER BETA VIRILITY BOOST,149,23.489932885906,0.671140939597315,22.8187919463087,Other,15
HYDROXYCUT MAX LIQUID CAPS,33,36.3636363636364,0,24.2424242424242,Weight Loss/Diet,14
MODERE BURN,72,30.5555555555556,0,29.1666666666667,Other,14
EXTENZE PLUS,25,40,0,20,Other,13
PROTANDIM US,74,40.5405405405405,4.05405405405405,36.4864864864865,Other,12
EMERGEN-C,135,17.7777777777778,5.92592592592593,10.3703703703704,Other,12
HERBALIFE MULTIVITAMIN COMPLEX FORMULA 2,34,97.0588235294118,2.94117647058824,94.1176470588235,Vitamin/Mineral,11
NO XPLODE,37,64.8648648648649,5.40540540540541,62.1621621621622,Other,11
HYDROXYCUT CAPSULES,15,60,0,60,Weight Loss/Diet,11
HYDROXYCUT CAFFEINE FREE CAPLETS,14,42.8571428571429,0,42.8571428571429,Weight Loss/Diet,11
PREVAGEN REGULAR STRENGTH,65,40,4.61538461538462,33.8461538461539,Other,11
NIACIN,16,25,6.25,18.75,Other,11
CENTRUM SILVER WOMEN'S 50+,230,13.0434782608696,1.30434782608696,10.8695652173913,Other,11
TOTAL BODY FORMULA,23,13.0434782608696,0,0,Other,11
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,110,10,1.81818181818182,5.45454545454545,Vitamin/Mineral,11
JACK3D,27,62.962962962963,14.8148148148148,44.4444444444444,Other,10
PURITAN'S PRIDE NIACIN 500MG COATED CAPLETS,13,30.7692307692308,0,30.7692307692308,Other,10
MODERE ACTIVATE,31,25.8064516129032,0,22.5806451612903,Other,10
ARBONNE ESSENTIALS HERBAL DETOX TEA,41,24.390243902439,0,21.9512195121951,Herbal/Botanical,10
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - CHOCOLATE,40,17.5,0,17.5,Sports Nutrition,10
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,39,15.3846153846154,0,15.3846153846154,Sports Nutrition,10
PHILLIPS' COLON HEALTH (BIFIDOBACTERIUM + LACTOBACILLUS) CAPSULE,54,9.25925925925926,0,9.25925925925926,Probiotic,10
BURN,24,54.1666666666667,0,54.1666666666667,Other,9
HYDROXYCUT CARB CONTROL CAPSULES,10,30,0,30,Weight Loss/Diet,9
ARBONNE ESSENTIALS DAILY FIBER BOOST,46,26.0869565217391,0,23.9130434782609,Other,9
CENTRUM SILVER MEN'S 50+,134,20.8955223880597,5.22388059701493,13.4328358208955,Other,9
PRESERVISION AREDS 2 FORMULA,115,20.8695652173913,2.60869565217391,15.6521739130435,Other,9
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",89,14.6067415730337,1.12359550561798,13.4831460674157,Vitamin/Mineral,9
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",223,13.4529147982063,1.34529147982063,11.6591928251121,Vitamin/Mineral,9
ONE A DAY WOMEN'S,223,11.2107623318386,1.34529147982063,8.07174887892377,Other,9
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",55,7.27272727272727,0,3.63636363636364,Other,9
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,133,5.26315789473684,0,5.26315789473684,Vitamin/Mineral,9
CITRACAL MAXIMUM,418,3.58851674641148,0,0,Other,9
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,122,0.819672131147541,0,0.819672131147541,Vitamin/Mineral,9
HERBALIFE FLORAFIBER,30,90,0,90,Herbal/Botanical,8
PLEXUS PROBIO 5,33,75.7575757575758,0,75.7575757575758,Other,8
TRIVEREX,50,74,0,68,Other,8
ARTRI KING,49,61.2244897959184,6.12244897959184,42.8571428571429,Other,8
SUSTAIN,16,50,0,43.75,Other,8
EXTENZE,27,44.4444444444444,3.7037037037037,37.037037037037,Other,8
MELATONIN,59,37.2881355932203,0,22.0338983050847,Sleep Aid,8
ARBONNE ESSENTIALS DIGESTION PLUS,56,25,0,25,Other,8
BENEFIBER WITH WHEAT DEXTRIN,60,20,5,16.6666666666667,Other,8
MODERE TRIM CHOCOLATE,39,15.3846153846154,0,15.3846153846154,Other,8
LACTAID FAST ACT,38,7.89473684210526,0,5.26315789473684,Other,8
"ONE A DAY MEN'S HEALTH FORMULA (MULTIVITAMINS, MINERALS, LYCOPENE) FILM-COATED TABLET",90,3.33333333333333,1.11111111111111,1.11111111111111,Vitamin/Mineral,8
CITRACAL PETITES,245,2.44897959183673,0,0.408163265306122,Other,8
ISAGENIX NATURAL ACCELERATOR,66,90.9090909090909,0,74.2424242424243,Other,7
TRUVY TRU,22,81.8181818181818,0,81.8181818181818,Other,7
5 HOUR ENERGY,68,70.5882352941177,20.5882352941176,33.8235294117647,Energy/Stimulant,7
ARTRI AJO KING,32,65.625,12.5,40.625,Other,7
TRUVY ALTER,15,53.3333333333333,0,53.3333333333333,Other,7
HYDROXYCUT RAPID RELEASE CAPLETS,17,52.9411764705882,0,47.0588235294118,Weight Loss/Diet,7
TRIPLE ACTION VIRILITY,99,42.4242424242424,0,37.3737373737374,Other,7
PREVAGEN EXTRA STRENGTH,57,40.3508771929825,3.50877192982456,35.0877192982456,Other,7
GREEN TEA FAT BURNER,20,40,10,40,Weight Loss/Diet,7
AG1 WHOLE FOOD DIETARY SUPPLEMENT,42,33.3333333333333,0,33.3333333333333,Weight Loss/Diet,7
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,27,29.6296296296296,0,29.6296296296296,Energy/Stimulant,7
HYDROXYCUT HARDCORE RAPID RELEASE CAPSULES,15,20,6.66666666666667,13.3333333333333,Weight Loss/Diet,7
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",103,19.4174757281553,3.88349514563107,15.5339805825243,Vitamin/Mineral,7
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",110,18.1818181818182,1.81818181818182,17.2727272727273,Vitamin/Mineral,7
NATUREMADE SUPER B COMPLEX TABLET,18,16.6666666666667,0,16.6666666666667,Vitamin/Mineral,7
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,112,6.25,0.892857142857143,2.67857142857143,Vitamin/Mineral,7
ONE A DAY WOMEN'S (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,87,3.44827586206897,0,3.44827586206897,Vitamin/Mineral,7
