product_clean,meddra_pt,report_yq,count,roll_mean,z_rolling
VITAMIN B6,Neuropathy Peripheral,2024-Q2,18,2.11111111111111,17.8888888888889
VITAMIN B6,Paraesthesia,2024-Q2,10,1.22222222222222,9.88888888888889
NATUREMADE VITAMIN B6,Neuropathy Peripheral,2024-Q2,9,1.11111111111111,8.88888888888889
PRESERVISION AREDS 2 FORMULA SOFT GELS,Death,2024-Q1,9,1.77777777777778,8.11111111111111
VITAMIN B6,Hypervitaminosis,2024-Q2,8,0.888888888888889,8
GRIPE WATER ORIGINAL,Choking,2025-Q1,8,1,7.88888888888889
VITAMIN B6,Arthralgia,2024-Q2,7,0.888888888888889,6.88888888888889
VITAMIN B6,Muscle Twitching,2024-Q2,7,0.888888888888889,6.88888888888889
VITAMIN B6,Hypoaesthesia,2024-Q2,7,1,6.77777777777778
GRIPE WATER NIGHTTIME,Choking,2024-Q4,6,0.666666666666667,6
FLORASTOR,Fungaemia,2025-Q1,6,0.666666666666667,6
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hospitalisation,2024-Q4,6,0.777777777777778,5.88888888888889
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Emergency Care,2025-Q1,6,0.888888888888889,5.77777777777778
NOSE SLAP,Dyspnoea,2023-Q1,5,0.555555555555556,5
VITAMIN B6,Tinnitus,2024-Q2,5,0.555555555555556,5
MOMMY'S BLISS GRIPE WATER NIGHTTIME,Choking,2024-Q4,5,0.555555555555556,5
MOMMYS BLISS GRIPE WATER NIGHTTIME,Choking,2025-Q1,5,0.555555555555556,5
GRIPE WATER,Choking,2025-Q2,5,0.555555555555556,5
VITAMIN B6,Anxiety,2024-Q2,5,0.666666666666667,4.88888888888889
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hepatic Enzyme Increased,2024-Q3,5,0.666666666666667,4.88888888888889
GUNDRY MD TOTAL RESTORE,Hospitalisation,2024-Q4,5,0.666666666666667,4.88888888888889
ONE A DAY WOMEN'S 50 PLUS HEALTHY ADVANTAGE,Choking,2023-Q3,5,0.777777777777778,4.66666666666667
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Abdominal Pain Upper,2025-Q2,5,0.888888888888889,4.66666666666667
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Diarrhoea,2024-Q3,5,1,4.49357231967977
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Nausea,2025-Q2,6,1.55555555555556,4.38095238095238
KRATOM,Seizure,2025-Q3,5,1.11111111111111,4.33333333333333
EU NATURAL CONCEPTION FOR HER FERTILITY AID AND MULTI,Abortion Spontaneous,2025-Q2,6,1.77777777777778,4.19047619047619
PRESERVISION AREDS 2,Death,2024-Q1,11,4.55555555555556,4.17327160113907
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hospitalisation,2025-Q1,6,1.11111111111111,4.16666666666667
CENTRUM SILVER WOMEN'S 50+,Choking,2023-Q4,6,1.11111111111111,4.08333333333333
PRESERVISION AREDS 2 FORMULA SOFT GELS,Blindness,2025-Q2,6,1.66666666666667,4.08248290463863
CITRACAL MAXIMUM,Foreign Body In Throat,2023-Q3,8,2,4.07269434974575
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Emergency Care,2025-Q2,9,1.88888888888889,4.00037535776369
AG1 WHOLE FOOD DIETARY SUPPLEMENT,Alanine Aminotransferase Increased,2023-Q2,4,0.444444444444444,4
AG1 WHOLE FOOD DIETARY SUPPLEMENT,Aspartate Aminotransferase Increased,2023-Q2,4,0.444444444444444,4
LIVING ESSENTIALS 5 HOUR ENERGY,Death,2023-Q3,4,0.444444444444444,4
TRUVY TRIM,Palpitations,2023-Q4,4,0.444444444444444,4
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Pyrexia,2024-Q2,4,0.444444444444444,4
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hypersensitivity,2024-Q2,4,0.444444444444444,4
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Urticaria,2024-Q2,4,0.444444444444444,4
VITAMIN B6,Nausea,2024-Q2,4,0.444444444444444,4
UMARY,Arthralgia,2024-Q3,4,0.444444444444444,4
UMARY HYALURONIC ACID,Contusion,2024-Q3,4,0.444444444444444,4
UMARY HYALURONIC ACID,Diarrhoea,2024-Q3,4,0.444444444444444,4
MOMMY'S BLISS GRIPE WATER ORIGINAL,Choking,2024-Q4,4,0.444444444444444,4
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hospitalisation,2024-Q4,4,0.444444444444444,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Drug Ineffective,2025-Q2,4,0.444444444444444,4
DS 01 DAILY PROBIOTIC PLUS PREBIOTIC SUPPLEMENT,Hospitalisation,2025-Q3,4,0.444444444444444,4
ARTRI KING,Pain,2023-Q2,4,0.555555555555556,3.88888888888889
GUNDRY MD BIO COMPLETE 3,Diarrhoea,2023-Q4,4,0.444444444444444,3.88888888888889
CENTRUM SILVER MEN 50 PLUS,Foreign Body In Throat,2024-Q3,4,0.555555555555556,3.88888888888889
UMARY,Abdominal Pain Upper,2024-Q3,4,0.555555555555556,3.88888888888889
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Colitis,2024-Q4,4,0.555555555555556,3.88888888888889
SIMILAC PROBIOTIC TRIBLEND,Necrotising Colitis,2023-Q3,4,0.666666666666667,3.77777777777778
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Aspartate Aminotransferase Increased,2024-Q2,4,0.666666666666667,3.77777777777778
VITAMIN B6,Dizziness,2024-Q2,4,0.666666666666667,3.77777777777778
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Nephrolithiasis,2025-Q2,4,0.666666666666667,3.77777777777778
PRESERVISION AREDS 2,Visual Impairment,2024-Q1,7,2.33333333333333,3.77123616632825
CITRACAL MAXIMUM,Foreign Body In Throat,2023-Q1,4,0.777777777777778,3.66666666666667
RITUAL SYNBIOTIC PLUS PREBIOTIC PROBIOTIC POSTBIOTIC,Gastrointestinal Disorder,2024-Q4,4,0.888888888888889,3.55555555555556
RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Gastrointestinal Disorder,2025-Q1,4,0.888888888888889,3.55555555555556
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hepatic Enzyme Increased,2025-Q2,4,0.888888888888889,3.55555555555556
RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Hypersensitivity,2025-Q2,4,0.888888888888889,3.55555555555556
CENTRUM SILVER WOMEN'S 50+,Choking,2023-Q3,4,0.555555555555556,3.50717839584762
BALANCE OF NATURE WHOLE PRODUCE FRUITS,Hospitalisation,2025-Q2,4,0.888888888888889,3.50717839584762
BALANCE OF NATURE WHOLE PRODUCE VEGGIES,Hospitalisation,2025-Q2,4,0.888888888888889,3.50717839584762
PRESERVISION AREDS 2 FORMULA SOFT GELS,Condition Aggravated,2025-Q1,4,1,3.33333333333333
CENTRUM SILVER WOMEN 50 PLUS,Foreign Body In Throat,2025-Q3,6,1.88888888888889,3.2252519826546
PRESERVISION AREDS 2,Cataract,2023-Q4,4,1,3.22222222222222
CITRACAL SLOW RELEASE 1200,Choking,2023-Q3,4,1.11111111111111,3.11111111111111
