stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower,in_aggregate
Female,5 HOUR ENERGY,Heart Rate Increased,3,0.709774026681187,4.2378752886836,5.35330586830204,0.218524218754417,1.53261732995628,0.485015658430549,3,TRUE,1.72628037085295,
Female,AG1 WHOLE FOOD DIETARY SUPPLEMENT,Headache,3,0.751429349305745,3.99850238257318,5.3161891799932,0.136340339512756,1.48377807752228,0.436176405996553,3,TRUE,1.62303824718377,
Female,AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Loss Of Consciousness,4,1.03893275251838,3.87003562475261,4.56681222707424,0.404889193632662,1.54799481053508,0.624112701674651,3,TRUE,1.73366687911249,
Female,ALL DAY ENERGY GREENS,Abdominal Discomfort,6,2.36778518921862,2.54937940045003,2.83886876811346,0.148126494248561,1.18050275479007,0.411812539684606,3,TRUE,1.28148382748327,
Female,ALL DAY ENERGY GREENS,Haematochezia,4,1.17410835829023,3.43936545240893,3.9437911659949,0.228559055774427,1.42653209069348,0.502649981833055,3,TRUE,1.5262445914986,
Female,ALL DAY ENERGY GREENS,Haemorrhage,4,1.20933160903893,3.33787598004277,3.82641850087705,0.185944526235462,1.39649269552989,0.472610586669458,3,TRUE,1.48111917261696,
Female,ALL DAY ENERGY GREENS FRUITY,Confusional State,3,0.576504219983665,5.26189478724041,6.28353004705701,0.51816172162863,1.70100094706005,0.653399275534325,3,TRUE,2.13330591447411,
Female,ALL DAY ENERGY GREENS FRUITY,Haematochezia,4,0.786142118159543,5.14338364338364,5.99060467357263,0.806757603340747,1.80687493277681,0.882992823916386,3,TRUE,2.29681708016138,
Female,ALL DAY ENERGY GREENS FRUITY,Myocardial Infarction,3,0.710148380070787,4.26056406280287,5.0810868233912,0.21776439623494,1.53217097036928,0.48456929884355,3,TRUE,1.72774990080137,
Female,ALL DAY ENERGY GREENS FRUITY,Vomiting,14,6.14501089028043,2.28594828594829,2.64207085094419,0.464076006159345,1.12570943124077,0.611115228768582,3,TRUE,1.49111863529894,
Female,"ALL DAY ENERGY GREENS, FRUITY",Vomiting,4,1.19708004356112,3.34546490103944,4.51692059159402,0.20062463300774,1.40687038958157,0.482988280721141,3,TRUE,1.51767191993453,
Female,ARBONNE ESSENTIALS BODY CLEANSE,Rash,3,0.760618023414103,3.95407407407407,4.9673957749112,0.11882499004504,1.47322372744444,0.425622055918707,3,TRUE,1.60756300446349,
Female,ARTRI KING,Swelling,3,0.565511843179962,5.32758620689655,6.6640814909133,0.545895168963729,1.71580829327106,0.668206621745334,3,TRUE,2.17918649081702,
Female,BELLY TRIM XP,Abdominal Pain,3,0.748026136673019,4.01879562043796,5.15613315093479,0.14288185323223,1.48770677403236,0.440105102506628,3,TRUE,1.63385775188779,
Female,BELLY TRIM XP,Dizziness,4,1.20609855703784,3.32171945701358,4.25576374431336,0.189803958197282,1.39922401150197,0.475341902641539,3,TRUE,1.49901266392679,
Female,BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Diarrhoea,13,6.39392186223795,2.03958290935187,2.28713787158895,0.268582620352222,0.969562555300564,0.436240677682118,3,TRUE,1.28017650402902,
Female,BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Hypertension,4,1.26606316362646,3.18026380068393,3.66725922163672,0.119849565627593,1.34938805923675,0.425505950376324,3,TRUE,1.41417066254987,
Female,BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Rectal Haemorrhage,3,0.572454396950722,5.30898876404494,6.31550155743929,0.528317386621822,1.70643861949998,0.658836947974249,3,TRUE,2.14835419870749,
Female,BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Depression,3,0.621766947998911,4.88039313676495,5.80690097668782,0.409270585231679,1.64158194119978,0.593980269674046,3,TRUE,1.97628971737187,
Female,BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Weight Decreased,4,1.17247481622652,3.43619516772226,3.96886990350509,0.230566255452221,1.42794051421005,0.504058405349622,3,TRUE,1.52919771322391,
Female,"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Fall,5,1.55724203648244,3.25189769160564,3.6356043956044,0.346665342290662,1.41872008034511,0.583051492054133,3,TRUE,1.54122759903358,
Female,CENTRUM SILVER ADULTS 50+,Throat Irritation,4,1.22985298121427,3.2667223614592,3.82840350708161,0.161685140220257,1.37927557183816,0.455393462977736,3,TRUE,1.45818244490515,
Female,"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS",Choking,4,0.819833923223523,4.88226007478189,15.3071970090352,0.746278853558377,1.769568597022,0.845686488161568,3,TRUE,2.41128353904568,
Female,CITRACAL CALCIUM + D,Choking,4,1.31173427715764,3.05110095554632,5.10177588534635,0.068756496391607,1.31255362726048,0.388671518400052,3,TRUE,1.38065344959224,
Female,COLONIX ADVANCED INTERNAL CLEANSING PROGRAM PARANIL,Diarrhoea,3,0.718418186768309,4.1803605313093,6.03479566832661,0.201080488045006,1.52234554051321,0.474743868987477,3,TRUE,1.6955115945283,
Female,EMERGEN-C,Abdominal Discomfort,5,1.44126054995916,3.4897619047619,4.01522268338725,0.45826526640082,1.50243785354441,0.666769265253436,3,TRUE,1.67568106451096,
Female,EMERGEN-C,Visual Impairment,3,0.447862782466649,6.79088803088803,8.1424178895877,0.881838005902123,1.88460479472362,0.837003123197894,3,TRUE,2.75371186830877,
Female,EXEMPTION 4,Anaemia,6,2.39926490607133,2.56746666666667,2.78893287416191,0.129078900953859,1.1647525595555,0.396062344450036,3,TRUE,1.26320976264941,
Female,EXEMPTION 4,Cerebrovascular Accident,12,5.66634903348761,2.15955140186916,2.27340017923914,0.291833904353469,1.01943963723683,0.465185848631375,3,TRUE,1.28299419507241,
Female,EXEMPTION 4,Death,19,7.89545330792268,2.46649887640449,2.58530965592232,0.657636539877,1.21579399406493,0.772088697287181,3,TRUE,1.62827827769747,
Female,EXEMPTION 4,Frequent Bowel Movements,4,1.05499591614484,3.984,4.46610891625997,0.382771662427288,1.53301421000304,0.609132101142614,3,TRUE,1.70504381472527,
Female,EXEMPTION 4,Osteoporosis,3,0.765722842363191,4.12628571428571,4.774401418859,0.109185347550591,1.4673933922703,0.419791720744569,3,TRUE,1.59954842977435,
Female,EXEMPTION 4,Stomach Discomfort,4,1.19112442145385,3.50109090909091,3.92774231651637,0.207815115580967,1.41194219408294,0.488060085222509,3,TRUE,1.50568638403678,
Female,EXEMPTION 4,Thrombosis,6,2.09297576912605,2.96246153846154,3.21818729427963,0.32604243415123,1.32583099360242,0.557140778496951,3,TRUE,1.45365054523739,
Female,HERBALIFE CELL ACTIVATOR,Hypersensitivity,8,3.66866321807787,2.18679597165237,2.46552691680261,0.122025830858182,1.02787801821294,0.355700806936051,3,TRUE,1.20205176136071,
Female,HERBALIFE CELL-U-LOSS,Muscle Spasms,3,0.692621835012252,4.35759916802853,5.25942410754837,0.25377422790706,1.55321826648548,0.505616594959752,3,TRUE,1.77173967118904,
Female,HERBALIFE TOTAL CONTROL,Hypoaesthesia,3,0.689150558126872,4.38022700119474,5.28336482700202,0.261014161625496,1.55742353606403,0.509821864538299,3,TRUE,1.78081426355559,
Female,HYDROXYCUT,Abdominal Pain Upper,10,3.9335692894092,2.55378124891043,2.87618187027527,0.46706915005208,1.24384880011874,0.639087749082738,3,TRUE,1.50543901874638,
Female,HYDROXYCUT,Alopecia,3,0.579499047100463,5.24114490161002,6.23993445334395,0.510697364467713,1.69699295219792,0.649391280672192,3,TRUE,2.12201140745211,
Female,HYDROXYCUT,Hospitalisation,5,1.00680642526545,5.02469643959662,5.75647153428445,0.975450349309111,1.86793752834206,1.03226894005109,3,TRUE,2.41146502490541,
Female,HYDROXYCUT,Migraine,3,0.599986387149469,5.05952106838591,6.02278406150662,0.460644636714583,1.66986925222901,0.622267580703281,3,TRUE,2.04881027464762,
Female,HYDROXYCUT,Pain,9,3.35699700517288,2.69426165856051,3.03200022667063,0.487610459780037,1.30044948768015,0.664644321334423,3,TRUE,1.54166906536028,
Female,HYDROXYCUT,Vomiting,14,6.8632589164171,2.04609260423214,2.31331760669097,0.304618267173535,0.97763656281936,0.463042360347175,3,TRUE,1.31422697050397,
Female,HYDROXYCUT,Weight Increased,3,0.573645521372175,5.29545728401012,6.30486314193319,0.525322998112892,1.70483717545006,0.657235503924331,3,TRUE,2.14388983467438,
Female,HYDROXYCUT HARDCORE,Abdominal Pain Upper,3,0.686087666757419,4.38016405667412,5.85015281401416,0.267432650946799,1.56114427497135,0.513542603445625,3,TRUE,1.78587065954315,
Female,HYDROXYCUT HARDCORE,Malaise,3,0.614620201470188,4.89075770191507,6.56444444444445,0.425926869594942,1.65080271576585,0.603201044240122,3,TRUE,2.00364064239231,
Female,HYDROXYCUT MAX,Dizziness,3,0.723659134222706,4.15093273035613,5.74722267664074,0.19060616453175,1.51615318907107,0.46855151754534,3,TRUE,1.68576939730279,
Female,HYDROXYCUT PRO CLINICAL CAPLETS,Nausea,4,1.26402123604683,3.1677722051448,4.32235192623945,0.122176713172595,1.35105707265854,0.42717496379811,3,TRUE,1.43152950906497,
Female,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Migraine,3,0.760447862782467,3.98878190571351,4.71835622790239,0.119147423369863,1.47341847832432,0.425816806798589,3,TRUE,1.61250227409841,
Female,ISAGENIX NATURAL ACCELERATOR,Hypertension,3,0.753947726653961,4.00059104341896,4.82337872776447,0.131518643652732,1.48087771432354,0.43327604279781,3,TRUE,1.62546463677706,
Female,LACTAID FAST ACT CAPLETS,Abdominal Pain,3,0.748026136673019,4.01879562043796,5.15613315093479,0.14288185323223,1.48770677403236,0.440105102506628,3,TRUE,1.63385775188779,
Female,LEPTIBURN,Vomiting,8,3.11240811325892,2.57573263991749,3.11786435786436,0.359190494441031,1.23450195017174,0.562324738894851,3,TRUE,1.45995135894944,
Female,MNS MAX 3,Dyspnoea,4,1.18329703239858,3.38450014405071,4.5741779142833,0.217320297590117,1.41863522622571,0.494753117365287,3,TRUE,1.53689682538983,
Female,NATURAL ACCELERATOR,Tremor,3,0.759597059624285,3.96861471861472,4.80241164241164,0.120760671808082,1.47439262726333,0.426790955737605,3,TRUE,1.61289647243173,
