soc,n_full,n_no_form,pct_full,pct_no_form,pct_change
Other/Unclassified,1006,845,33.3,35.5,2.2
Gastrointestinal Disorders,799,390,26.5,16.4,-10.1
General Disorders,246,218,8.2,9.2,1
Hepatobiliary Disorders,169,168,5.6,7.1,1.5
Nervous System Disorders,153,138,5.1,5.8,0.7
Blood Disorders,115,112,3.8,4.7,0.9
Respiratory Disorders,104,103,3.4,4.3,0.9
Skin and Subcutaneous Tissue Disorders,91,82,3,3.4,0.4
Cardiac Disorders,76,70,2.5,2.9,0.4
Psychiatric Disorders,67,67,2.2,2.8,0.6
Renal and Urinary Disorders,67,66,2.2,2.8,0.6
Immune System Disorders,51,47,1.7,2,0.3
Musculoskeletal Disorders,39,39,1.3,1.6,0.3
Eye Disorders,18,18,0.6,0.8,0.2
Metabolism and Nutrition Disorders,16,18,0.5,0.8,0.3
