stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower
Age 18-39,KRATOM,Death,132,10.9457135178715,19.1461950610321,40.9921279865557,3.37665024236512,3.53311305225427,3.36436174936738,4,TRUE,30.7191405543989
Age 18-39,KRATOM,Toxicity To Various Agents,80,3.85366836871809,61.2916267688052,90.3838617392327,4.09319626950179,4.20868536058104,3.99141701541938,4,TRUE,59.8956552592188
Age 18-39,KRATOM,Dependence,60,5.60239183015318,15.8653104689164,20.8179148311307,3.09518135236547,3.30948841998175,3.05852763551532,4,TRUE,14.7430940080375
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Liver Function Test Abnormal,52,3.24912657887665,21.4604105571848,36.2094196804037,3.64672559827927,3.80769098261498,3.5381411207857,4,TRUE,24.4730036155297
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Liver Function Test Abnormal,28,1.59836065573771,20.2874251497006,36.64303853865,3.63491518009931,3.76362735172763,3.39718939362968,4,TRUE,21.7321261844731
Age 18-39,KRATOM,Accidental Death,27,0.906745498521903,806.751037344399,615.427350427351,4.3803330907328,4.28899836663569,3.91593223290952,4,TRUE,118.310900352052
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Emotional Distress,24,1.14969094329481,31.4752688172043,38.9701492537313,3.84079142337822,3.89251407197071,3.49718661949764,4,TRUE,22.9578743507563
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Rhabdomyolysis,22,2.18274657350175,11.9115122817402,14.4527230203809,2.77412596936974,3.06814231993504,2.65556314879739,4,TRUE,8.82058851455371
Age 18-39,KRATOM,Overdose,22,2.46116635313088,12.1731980943599,13.4432927211553,2.60206785431556,2.92568755546111,2.51310838432346,4,TRUE,8.07925498098226
Age 18-39,KRATOM,Pulmonary Oedema,22,0.939129266326256,93.9075281564908,98.3302961275627,3.97760355517045,3.96665691181783,3.55407774068018,4,TRUE,42.5671450984884
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Renal Failure,19,1.11636656812685,23.3605510752688,27.7079689255875,3.47480662413502,3.59264780168407,3.14937709107487,4,TRUE,15.8333345069234
Age 18-39,KRATOM,Convulsion,19,8.97030368180597,2.20044067033356,2.35408688848804,0.485684677395286,1.04199152989395,0.598720819284755,3,TRUE,1.45775582949064
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Emotional Distress,17,0.565573770491803,39.5576923076923,54.9026217228465,4.23915534846619,4.0376525414794,3.56967412885885,4,TRUE,29.6507795867668
Age 18-39,KRATOM,Withdrawal Syndrome,17,2.36401504971782,9.07061351511559,9.85838737016379,2.20498065814415,2.61124394330362,2.14326553068307,4,TRUE,5.6740751841013
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Anxiety,16,3.42622950819672,4.81592039800995,6.28826701249062,1.56363450295335,2.07124961118516,1.5892661704913,4,TRUE,3.54855554276062
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Pain,16,6.81483472184897,2.40269227612247,2.67645904941474,0.574778660177661,1.17356885221447,0.691585411520609,3,TRUE,1.5788838358168
Age 18-39,KRATOM,Drug Screen Positive,16,1.52203708680462,15.4217641547316,16.6562137049942,2.72623009472668,3.02858466096103,2.54660122026717,4,TRUE,9.04830326085132
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Injury,15,0.459016393442623,44.2682926829268,58.9598393574297,4.30591239618898,4.01456892836636,3.51724714524282,4,TRUE,30.7548472729296
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Pain,15,3.35245901639344,4.60659898477157,5.90409801436417,1.47814957115654,2.00841670138476,1.51109491826123,4,TRUE,3.29336730544513
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Convulsion,15,4.61542596076324,3.37878601329722,3.80520113068058,1.01870476644775,1.59934193241157,1.10202014928803,4,TRUE,2.20422678060274
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Liver Injury,15,1.99946251007794,8.43087557603687,9.67856910991365,2.2193171901314,2.63257842246537,2.13525663934183,4,TRUE,5.49775564186901
Age 18-39,HYDROXYCUT,Jaundice,14,2.7706261757592,5.3074583784341,6.2957129160389,1.6259397589566,2.14841412265225,1.63419459199114,4,TRUE,3.52942929478861
Age 18-39,KRATOM,Toxicologic Test Abnormal,14,0.647675356087073,69.7192254495159,70.556043956044,3.69700336108115,3.65926639178992,3.14504686112881,4,TRUE,27.7119264377772
Age 18-39,MODERE BURN,Vomiting,14,4.35393711367912,3.24851218442649,4.87066291099313,0.97672288662643,1.57882557769147,1.06460604703036,3,TRUE,2.47737760585454
Age 18-39,HYDROXYCUT,Fatigue,13,5.17884977156678,2.55586741512964,2.91511353272689,0.590801368359836,1.24928875498642,0.716328383437262,3,TRUE,1.61935161658944
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hypertension,13,2.04944907282988,6.97463343108504,7.8984436824057,1.92170569375446,2.40470198283187,1.87174161128271,4,TRUE,4.35542340478432
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Injury,13,0.933082504703037,17.8420855213803,20.2503479202103,3.04409832865602,3.23576583206131,2.70280546051215,4,TRUE,10.6924170468009
Age 18-39,KRATOM,Brain Oedema,13,0.647675356087073,55.4908120924718,56.674398249453,3.56058595967758,3.55617289882582,3.02321252727667,4,TRUE,22.9894450603368
Age 18-39,KRATOM,Unresponsive To Stimuli,13,1.3277344799785,13.872703023118,14.8707819877922,2.54216080524003,2.8848310008273,2.35187062927814,4,TRUE,7.67956358311162
Age 18-39,LACTAID FAST ACT,Vomiting,13,2.3050255307713,5.70401891252955,16.9234449760766,1.75334800981335,2.2668736001531,1.73391322860395,4,TRUE,6.26427305597627
Age 18-39,OXYELITE PRO,Blood Bilirubin Increased,13,1.34802472453642,10.3331180712517,13.4011957530152,2.52052855556785,2.86890344360892,2.33594307205977,4,TRUE,7.14861156066327
Age 18-39,RITUAL SYNBIOTIC PLUS PREBIOTIC PROBIOTIC POSTBIOTIC,Gastrointestinal Disorder,13,0.14512227895727,109.097175141243,668.73781512605,5.60739425708572,4.38724295663065,3.85428258508149,4,TRUE,169.350359407896
Age 18-39,VITAPEARL,Abortion Spontaneous,13,0.275732330018812,53.0869086908691,177.10210479176,4.74825062799412,4.12125666728146,3.5882962957323,4,TRUE,64.4621901639918
Age 18-39,ARBONNE ESSENTIALS DIGESTION PLUS,Hypersensitivity,12,1.45767266863746,8.42954545454546,15.8422247446084,2.26005689642173,2.67471662953766,2.12081068564569,4,TRUE,7.19069636470153
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Rhabdomyolysis,12,1.07377049180328,12.2016806722689,15.3469844892439,2.69567642017627,2.98963102661645,2.43572508272449,4,TRUE,8.04209556392219
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hepatitis,12,1.26632625638269,11.0655241935484,12.4969853574505,2.46080610349935,2.82310434339509,2.26919839950312,4,TRUE,6.63126802830218
Age 18-39,OXYELITE PRO,Fatigue,12,3.39303950550927,3.60727805592868,4.42775648453516,1.04974073685719,1.68295920493717,1.1290532610452,4,TRUE,2.35014826573798
Age 18-39,BURN,Nausea,11,2.36199946251008,4.69639468690702,11.0674157303371,1.40573517567702,2.00653855493377,1.42901282512436,4,TRUE,4.22044450519865
Age 18-39,HYDROXYCUT,Abdominal Pain Upper,11,5.48280032249395,2.03044220247955,2.26145929109557,0.196139359571834,0.942741042580267,0.365215312770856,3,TRUE,1.20798043856357
Age 18-39,HYDROXYCUT,Liver Function Test Abnormal,11,2.27962913195378,5.05403548225887,5.84319039268824,1.45660834901183,2.04866954979299,1.47114381998358,4,TRUE,3.09067276826993
Age 18-39,KRATOM,Depression,11,4.63087879602258,2.48997233748271,2.66194900339705,0.439025994538889,1.16435601013058,0.58683028032117,3,TRUE,1.43678823745985
Age 18-39,KRATOM,Drug Withdrawal Syndrome,11,1.58680462241333,8.649377593361,9.2830661746063,1.97507872341296,2.46226642190812,1.88474069209871,4,TRUE,4.74266532063328
Age 18-39,OXYELITE PRO,Jaundice,11,1.81523783929051,6.3060860114889,7.81734672078616,1.78278398207822,2.31240155007048,1.73487582026106,4,TRUE,4.04480602231594
Age 18-39,OXYELITE PRO,Malaise,11,2.71136791185165,4.15503043322592,5.07043245527539,1.20792292974936,1.84037399849943,1.26284826869002,4,TRUE,2.63506045325489
Age 18-39,VITAMIN B6,Neuropathy Peripheral,11,0.0730986294006987,221.972826086957,658.725338491296,6.15426309231771,4.32670660497713,3.74918087516772,4,TRUE,220.622448856266
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Jaundice,10,3.94893845740392,2.5998294727867,2.85851528384279,0.486235134888316,1.2388562810671,0.634414008103403,3,TRUE,1.49880260158563
Age 18-39,KRATOM,Cardiac Arrest,10,2.13732867508734,5.33565500889152,5.73617615015578,1.36716716118103,1.99324004559589,1.38879777263219,4,TRUE,2.93067781788116
Age 18-39,ARBONNE ESSENTIALS DAILY FIBER BOOST,Hypersensitivity,9,1.21472722386455,7.5392776523702,13.0003921376403,1.97043065868293,2.46994842047262,1.83444645977756,4,TRUE,5.47567573951853
Age 18-39,BURN,Vomiting,9,2.17696855683956,4.1640702891326,7.6696976302432,1.1367169400811,1.82732731998527,1.19182535929021,4,TRUE,3.03247975260029
