product_clean,meddra_pt,a,expected,prr,prr_lower,prr_upper,chi2,prr_signal,ror,ror_lower,ror_upper,ror_signal,ebgm,eb05,eb95,gps_signal,ic,ic025,ic975,bcpnn_signal,n_methods,validation_status,validation_note
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,475,77.9586404586405,6.52366031689514,6.20270188109286,6.86122672765534,2334.3504948896,TRUE,23.9588101965411,19.9040090756326,28.8396465180791,TRUE,2.60717117086761,2.49585853947557,2.71371786257378,TRUE,2.59944109954584,2.50999604479379,2.68888615429789,TRUE,4,Validated,"Formulation-related choking/dysphagia, large tablet size, elderly population"
CITRACAL MAXIMUM,Choking,278,52.1387387387387,5.53906179276882,5.15334986839448,5.95364303368559,1122.51148816715,TRUE,14.5255553593621,11.8371886850679,17.8244821563121,TRUE,2.41470037255227,2.2681960629859,2.55305906085486,TRUE,2.40348050095486,2.28636842202156,2.52059257988816,TRUE,4,Validated,"Formulation-related choking, large calcium tablet size"
SUPER BETA PROSTATE,Blood Urine Present,268,12.997542997543,37.7462115847614,32.4040268146515,43.9691183182628,5159.35808657287,TRUE,49.5087282958903,41.4604328798529,59.1193580775991,TRUE,4.36594126716387,4.21664783645167,4.50678491349757,TRUE,4.31415337047882,4.19486808986694,4.4334386510907,TRUE,4,Validated,"FDA warning letters, urologic symptoms consistent with beta-sitosterol effects"
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,264,30.7509213759214,9.52127910238429,8.6100035908448,10.5290032447716,1876.82073333601,TRUE,15.7574002405521,13.3685210623221,18.5731586301455,TRUE,3.10187622210675,2.95142212988532,3.24375240797796,TRUE,3.08129709161588,2.96110827881377,3.20148590441798,TRUE,4,Validated,"Formulation-related choking/dysphagia, large tablet size, elderly population"
KRATOM,Death,178,10.4391482391482,19.6869131562603,17.3797156122764,22.3003965236557,2767.33143212602,TRUE,34.4098968304129,28.0264171414056,42.2473195166421,TRUE,4.09183908036634,3.90740105175842,4.26355026296987,TRUE,4.02835175998715,3.88191777558191,4.17478574439239,TRUE,4,Validated,"FDA import alert 54-15, DEA scheduling, extensive literature on mitragynine toxicity"
CITRACAL PETITES,Choking,162,30.5597870597871,5.41858416216402,4.93861878676888,5.94519552736412,644.228131632098,TRUE,14.0007860512009,10.738233618942,18.2545860899992,TRUE,2.40636142643723,2.21268570838493,2.58605180764422,TRUE,2.38731987412237,2.23382082348701,2.54081892475774,TRUE,4,Validated,"Formulation-related choking, large calcium tablet size"
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,139,13.7310606060606,11.4807451820128,9.78556400477496,13.4695874320575,1174.22157499153,TRUE,14.5078582398928,11.8891411264332,17.7033772642223,TRUE,3.33964060671278,3.12990909154719,3.53306940693753,TRUE,3.29315003054587,3.1274403614984,3.45885969959334,TRUE,4,Validated,"Formulation-related choking/dysphagia, large tablet size, elderly population"
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,125,19.8326781326781,6.41381371126099,5.89423726492892,6.97919077121773,633.164969671773,TRUE,26.0379944506172,17.8464958641394,37.9893711444325,TRUE,2.65606900330958,2.43439831299121,2.85960821695826,TRUE,2.62581520579589,2.45108197562177,2.80054843597,TRUE,4,Validated,"Formulation-related choking/dysphagia, large tablet size, elderly population"
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Emotional Distress,115,1.6990990990991,123.252032520325,98.6772416055822,153.946981829009,7578.5910621204,TRUE,188.951707403681,142.636071684395,250.306583104478,TRUE,6.08058100944338,5.84903736047602,6.29241384988834,TRUE,5.71483642287237,5.53267729128148,5.89699555446327,TRUE,4,Validated,"2009 FDA recall, hepatotoxicity well-documented (Fong et al. 2010)"
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Choking,111,15.2175266175266,7.41103384762129,6.97459703375728,7.87478078299826,683.326137725396,TRUE,69.2749201341819,37.7291599301661,127.196432904414,TRUE,2.866853839518,2.63098059053419,3.08230472906551,TRUE,2.82659759872006,2.6411922190232,3.01200297841692,TRUE,4,Validated,"Formulation-related choking/dysphagia, large tablet size, elderly population"
